BestSquatKg,BestBenchKg
175.0,170.0
147.42,72.57
125.0,65.0
252.5,152.5
174.63,136.08
252.5,157.5
176.9,115.67
122.5,85.0
210.0,120.0
115.0,102.5
85.0,55.0
195.0,117.5
197.5,105.0
127.5,75.0
277.5,227.5
180.0,112.5
233.6,142.88
175.0,130.0
80.0,47.5
131.54,92.99
120.0,70.0
150.0,137.5
90.0,52.5
210.92,122.47
100.0,75.0
190.0,130.0
245.0,182.5
183.7,142.88
200.0,85.0
217.5,163.0
207.29,145.15
102.5,47.5
240.0,157.5
237.5,150.0
347.5,190.0
200.0,117.5
165.0,127.5
110.0,52.5
160.0,130.0
86.2,54.4
158.8,120.2
145.0,85.0
102.5,75.0
249.48,158.76
52.5,27.5
227.5,210.0
188.24,138.35
160.0,100.0
95.0,55.0
180.0,130.0
193.0,142.5
182.5,137.5
195.04,92.99
244.94,165.56
232.5,172.5
175.0,125.0
200.0,115.0
125.0,80.0
130.0,92.5
245.0,150.0
190.0,140.0
68.04,40.82
102.5,70.0
85.0,52.5
287.5,207.5
122.5,70.0
156.49,86.18
110.0,60.0
182.5,115.0
450.0,260.0
158.76,106.59
152.5,80.0
320.0,195.0
332.5,215.0
252.5,137.5
100.0,57.5
78.0,57.5
90.72,56.7
115.0,82.5
170.0,125.0
175.0,95.0
122.5,72.5
145.0,102.5
136.08,79.38
165.0,80.0
97.5,65.8
142.5,137.5
115.0,67.5
260.82,174.63
257.5,145.0
150.0,110.0
157.5,102.5
149.69,88.45
204.12,111.13
231.33,163.29
162.5,62.5
183.7,97.52
95.0,52.5
122.5,72.5
172.37,97.52
115.0,50.0
120.0,65.0
235.87,154.22
347.5,212.5
160.0,105.0
110.0,65.0
270.0,150.0
57.5,35.0
215.0,145.0
185.0,137.5
65.0,52.5
195.0,160.0
172.5,72.5
99.79,56.7
152.5,110.0
204.12,136.08
255.0,170.0
212.5,145.0
205.0,140.0
177.5,107.5
170.0,155.0
86.18,38.56
147.5,97.5
215.46,124.74
75.0,35.0
188.24,117.93
160.0,97.5
231.33,142.88
132.5,75.0
125.0,75.0
250.0,82.5
154.22,90.72
250.0,175.0
207.5,65.0
142.5,92.5
230.0,155.0
227.5,165.0
305.0,227.5
206.38,129.27
217.5,122.5
180.0,130.0
62.5,90.0
220.0,130.0
217.5,165.0
111.13,56.7
132.5,75.0
227.5,185.0
270.0,210.0
205.0,155.0
95.0,80.0
193.0,115.0
172.37,113.4
207.5,130.0
181.44,88.45
182.5,182.5
127.5,75.0
136.08,92.99
105.0,95.0
240.4,138.35
350.0,262.5
215.0,132.5
83.91,70.31
131.54,68.04
263.08,158.76
142.88,97.52
230.0,160.0
124.74,83.91
150.0,125.0
82.5,110.0
82.5,45.0
177.5,110.0
204.12,165.56
112.5,47.5
147.5,110.0
182.5,110.0
87.5,47.5
215.0,152.5
210.0,147.5
300.0,160.0
315.0,185.0
360.0,242.5
226.8,151.95
125.0,65.0
158.76,90.72
87.5,47.5
197.31,149.69
258.55,172.37
85.0,65.0
175.0,110.0
140.0,80.0
158.76,81.65
140.0,60.0
175.0,120.0
230.0,130.0
97.5,50.0
217.5,112.5
200.0,120.0
290.0,182.5
200.0,140.0
92.5,50.0
142.88,72.57
217.72,127.01
150.0,80.0
161.03,99.79
303.91,154.22
230.0,197.5
240.0,100.0
154.22,88.45
77.11,40.82
202.5,122.5
100.0,90.0
265.35,147.42
95.0,45.0
85.0,67.5
410.5,235.87
245.0,152.5
136.08,83.91
145.0,120.0
362.87,210.92
